rad,str,cp,char
1,0,19968,一
1,0,173785,𪛙
1,1,19969,丁
1,1,19970,丂
1,1,19971,七
1,1,19972,丄
1,1,19973,丅
1,1,19974,丆
1,1,131072,𠀀
1,1,131073,𠀁
1,1,131074,𠀂
1,1,183984,𬺰
1,1,196608,𰀀
1,2,19975,万
1,2,19976,丈
1,2,19977,三
1,2,19978,上
1,2,19979,下
1,2,19980,丌
1,2,20112,亐
1,2,21316,卄
1,2,131075,𠀃
1,2,131076,𠀄
1,2,131077,𠀅
1,2,131078,𠀆
1,2,173786,𪛚
1,2,173824,𪜀
1,2,173825,𪜁
1,2,177984,𫝀
1,2,183970,𬺢
1,2,183985,𬺱
1,2,183986,𬺲
1,2,183987,𬺳
1,2,183988,𬺴
1,2,196609,𰀁
1,2,196610,𰀂
1,2,196611,𰀃
1,2,196612,𰀄
1,2,205744,𲎰
1,2,205745,𲎱
1,3,19981,不
1,3,19982,与
1,3,19983,丏
1,3,19984,丐
1,3,19985,丑
1,3,19986,丒
1,3,19987,专
1,3,19991,丗
1,3,63847,不
1,3,131079,𠀇
1,3,131080,𠀈
1,3,131081,𠀉
1,3,131082,𠀊
1,3,131083,𠀋
1,3,131084,𠀌
1,3,173826,𪜂
1,3,178209,𫠡
1,3,183971,𬺣
1,3,183989,𬺵
1,3,183990,𬺶
1,3,183991,𬺷
1,3,183992,𬺸
1,3,183993,𬺹
1,3,191472,𮯰
1,3,196613,𰀅
1,3,196614,𰀆
1,3,196615,𰀇
1,3,205746,𲎲
1,4,13312,㐀
1,4,19988,且
1,4,19989,丕
1,4,19990,世
1,4,19992,丘
1,4,19993,丙
1,4,19994,业
1,4,19995,丛
1,4,19996,东
1,4,19997,丝
1,4,131085,𠀍
1,4,131086,𠀎
1,4,131087,𠀏
1,4,131088,𠀐
1,4,131089,𠀑
1,4,131090,𠀒
1,4,131091,𠀓
1,4,131092,𠀔
1,4,131093,𠀕
1,4,131094,𠀖
1,4,131095,𠀗
1,4,178210,𫠢
1,4,178211,𫠣
1,4,183994,𬺺
1,4,183995,𬺻
1,4,183996,𬺼
1,4,183997,𬺽
1,4,183998,𬺾
1,4,196616,𰀈
1,4,196617,𰀉
1,4,196618,𰀊
1,4,201552,𱍐
1,5,13313,㐁
1,5,13314,㐂
1,5,19998,丞
1,5,19999,丟
1,5,20000,丠
1,5,20001,両
1,5,20002,丢
1,5,131096,𠀘
1,5,131097,𠀙
1,5,131098,𠀚
1,5,131100,𠀜
1,5,131102,𠀞
1,5,131103,𠀟
1,5,131104,𠀠
1,5,177985,𫝁
1,5,178212,𫠤
1,5,178213,𫠥
1,5,183999,𬺿
1,5,184000,𬻀
1,5,184001,𬻁
1,5,184002,𬻂
1,5,184003,𬻃
1,5,184004,𬻄
1,5,184005,𬻅
